,Player,Tm,season17_18
1,Stephen Curry,GSW,34682550.00 
2,LeBron James,CLE,33285709.00 
3,Paul Millsap,DEN,31269231.00 
4,Gordon Hayward,BOS,29727900.00 
5,Blake Griffin,DET,29512900.00 
6,Kyle Lowry,TOR,28703704.00 
7,Russell Westbrook,OKC,28530608.00 
8,Mike Conley,MEM,28530608.00 
9,James Harden,HOU,28299399.00 
10,DeMar DeRozan,TOR,27739975.00 
11,Al Horford,BOS,27734405.00 
12,Carmelo Anthony,OKC,26243760.00 
13,Damian Lillard,POR,26153057.00 
14,Jrue Holiday,NOP,25686667.00 
15,Chris Bosh,MIA,25289390.00 
16,Kevin Durant,GSW,25000000.00 
17,Otto Porter,WAS,24773250.00 
18,Chris Paul,HOU,24599495.00 
19,C.J. McCollum,POR,23962573.00 
20,Bradley Beal,WAS,23775506.00 
21,Anthony Davis,NOP,23775506.00 
22,Andre Drummond,DET,23775506.00 
23,Hassan Whiteside,MIA,23775506.00 
24,Dwight Howard,CHO,23500000.00 
25,Chandler Parsons,MEM,23112004.00 
26,Harrison Barnes,DAL,23112004.00 
27,J.J. Redick,PHI,23000000.00 
28,Marc Gasol,MEM,22642350.00 
29,Kevin Love,CLE,22642350.00 
30,Brook Lopez,LAL,22642350.00 
31,DeAndre Jordan,LAC,22642350.00 
32,Steven Adams,OKC,22471910.00 
33,Giannis Antetokounmpo,MIL,22471910.00 
34,Nicolas Batum,CHO,22434783.00 
35,Rudy Gobert,UTA,21974719.00 
36,LaMarcus Aldridge,SAS,21461010.00 
37,Victor Oladipo,IND,21000000.00 
38,Enes Kanter,NYK,20566802.00 
39,Danilo Gallinari,LAC,20559599.00 
40,Serge Ibaka,TOR,20061729.00 
41,George Hill,CLE,20000000.00 
42,Ryan Anderson,HOU,19578455.00 
43,Paul George,OKC,19508958.00 
44,Allen Crabbe,BRK,19332500.00 
45,Jimmy Butler,MIN,19301070.00 
46,Jeff Teague,MIN,19000000.00 
47,Kawhi Leonard,SAS,18868625.00 
48,Kyrie Irving,BOS,18868625.00 
49,John Wall,WAS,18063850.00 
50,DeMarcus Cousins,NOP,18063850.00 
51,Greg Monroe,PHO,17884176.00 
52,Wesley Matthews,DAL,17884176.00 
53,Klay Thompson,GSW,17826150.00 
54,Joakim Noah,NYK,17765000.00 
55,Kentavious Caldwell-Pope,LAL,17745894.00 
56,Luol Deng,LAL,17190000.00 
57,Evan Turner,POR,17131148.00 
58,Goran Dragic,MIA,17000450.00 
59,Evan Fournier,ORL,17000000.00 
60,Bismack Biyombo,ORL,17000000.00 
61,Kent Bazemore,ATL,16910113.00 
62,Robert Covington,PHI,16698103.00 
63,Ian Mahinmi,WAS,16661641.00 
64,Tim Hardaway,NYK,16500000.00 
65,Draymond Green,GSW,16400000.00 
66,Tristan Thompson,CLE,16400000.00 
67,Reggie Jackson,DET,16000000.00 
68,Pau Gasol,SAS,16000000.00 
69,Tobias Harris,LAC,16000000.00 
70,Dwyane Wade,CHI,15550000.00 
71,Dennis Schroder,ATL,15500000.00 
72,Jonas Valanciunas,TOR,15460675.00 
73,Tony Parker,SAS,15453126.00 
74,Timofey Mozgov,BRK,15280000.00 
75,Andre Iguodala,GSW,14814815.00 
76,DeMarre Carroll,BRK,14800000.00 
77,Thaddeus Young,IND,14796348.00 
78,Eric Bledsoe,MIL,14500000.00 
79,Ricky Rubio,UTA,14275000.00 
80,Joe Ingles,UTA,14136364.00 
81,Gorgui Dieng,MIN,14112360.00 
82,Khris Middleton,MIL,14100000.00 
